osm_id,code,fclass,name,layer,bridge,tunnel,geometry
26322054,6103,subway,港鐵機場快綫 MTR Airport Express,2,T,F,"LINESTRING (114.1386093 22.3332429, 114.1377684 22.3335684, 114.1373312 22.3337289, 114.1368863 22.3338973, 114.1365632 22.3340331, 114.1362732 22.3341762, 114.1359775 22.3343291, 114.1356416 22.334513, 114.1353515 22.3346883, 114.1350578 22.3348804, 114.1347509 22.3350933, 114.134565 22.3352356, 114.1343192 22.3354268, 114.1340694 22.335643, 114.1338085 22.3358809, 114.1335258 22.3361592, 114.1332593 22.336452, 114.1330014 22.3367449, 114.1327593 22.337064, 114.1325489 22.3373637, 114.1322937 22.3377564, 114.132091 22.3380847, 114.1319088 22.3383993, 114.1317008 22.3388133, 114.1315086 22.3392181, 114.1310462 22.3401917, 114.1308855 22.340546, 114.130704 22.3409135, 114.1305282 22.3412185, 114.1298859 22.3423245, 114.1295413 22.3429095)"
26322180,6103,subway,港鐵荃灣綫 MTR Tsuen Wan Line,2,T,F,"LINESTRING (114.1312518 22.3644072, 114.1312383 22.3640796, 114.131206 22.3630265, 114.1311743 22.3622594, 114.1311341 22.3613791, 114.1311142 22.3611752, 114.1310784 22.3609464)"
26322258,6103,subway,港鐵港島綫 MTR Island Line,0,F,F,"LINESTRING (114.2379158 22.2788217, 114.2380484 22.2786689, 114.2383477 22.2783206, 114.2397867 22.2766653)"
26322267,6103,subway,港鐵港島綫 MTR Island Line,2,T,F,"LINESTRING (114.2360935 22.2627543, 114.2362953 22.2631403, 114.2364226 22.2633911, 114.2366285 22.2637876, 114.2370517 22.2646033, 114.2374988 22.2654651, 114.2378699 22.2661817)"
26328458,6103,subway,港鐵觀塘綫 MTR Kwun Tong Line,-3,F,T,"LINESTRING (114.1827061 22.3092775, 114.1816613 22.3099111)"
26349960,6103,subway,港鐵觀塘綫 MTR Kwun Tong Line,-2,F,T,"LINESTRING (114.1687302 22.3311487, 114.1687327 22.3318072, 114.1687432 22.3327175, 114.1687662 22.3332134, 114.1688102 22.3335585, 114.1688858 22.3339179, 114.1689512 22.3342217, 114.1690462 22.3345534, 114.1691668 22.3348599, 114.1693198 22.3351538, 114.1694941 22.3354019, 114.1696738 22.3356153, 114.1698777 22.3358311, 114.1701191 22.3360569, 114.1703953 22.3362752, 114.1707387 22.3364911, 114.1710766 22.3366647, 114.1714602 22.3368061, 114.1717955 22.3368855, 114.1721871 22.3369401, 114.1724955 22.3369525, 114.1765022 22.3369105, 114.177541 22.336867, 114.1787662 22.3368411, 114.1815214 22.3367904, 114.1823175 22.3367988, 114.1828796 22.336819, 114.183333 22.3368875, 114.1838299 22.336998, 114.1843687 22.3371647, 114.1860699 22.3377546, 114.1869748 22.3380634, 114.1877466 22.3383209, 114.1885175 22.3385954, 114.1887845 22.3387115, 114.1890482 22.3388514, 114.1892505 22.3389923, 114.1894214 22.3391482, 114.1896276 22.3393851, 114.1905984 22.340643, 114.1908671 22.3409325, 114.1911201 22.3411549, 114.1913838 22.3413388, 114.1916842 22.3414955, 114.1919703 22.3415897, 114.1922876 22.3416533, 114.1925877 22.3416902, 114.1943553 22.3417091, 114.1958988 22.341733, 114.1973561 22.3417146, 114.1976408 22.3417077, 114.1983376 22.3415894, 114.198827 22.3414529, 114.2000211 22.3409766, 114.2005818 22.3406935, 114.2011179 22.340393, 114.2016466 22.3400852, 114.2023787 22.3396613, 114.2027306 22.3394596, 114.2030587 22.3392291, 114.2046141 22.3382323, 114.2063691 22.3371501, 114.20726 22.3364677, 114.2074835 22.336288, 114.2078348 22.3360163, 114.2082158 22.3357267, 114.2083922 22.3355881, 114.2086311 22.3354008, 114.2092934 22.3348821, 114.2096725 22.3345852, 114.2100006 22.3343253, 114.2103846 22.3339895, 114.2105927 22.3338407, 114.2108648 22.3336574, 114.2109056 22.3336281, 114.2114032 22.3332541, 114.211852 22.3327831, 114.2123122 22.3321618, 114.2126507 22.3314432, 114.2128144 22.3310106, 114.2129223 22.3307252, 114.2130345 22.3303337, 114.2131312 22.3300661, 114.2132909 22.3295506, 114.213441 22.3288755, 114.2135873 22.3279819)"
26350053,6101,rail,港鐵東鐵綫 MTR East Rail Line,-1,F,T,"LINESTRING (114.1701203 22.3605782, 114.1735526 22.3415292, 114.1737843 22.340798, 114.1738481 22.3406202, 114.1738959 22.3404995, 114.1739481 22.3403771, 114.1740151 22.3402313, 114.1743045 22.339708)"
26350504,6103,subway,港鐵觀塘綫 MTR Kwun Tong Line,2,T,F,"LINESTRING (114.2319156 22.307885, 114.2318214 22.3080441, 114.2317238 22.3082402, 114.2316228 22.3084044, 114.2315328 22.3085281, 114.2314159 22.3086741, 114.2312933 22.3088164, 114.2311996 22.3089227, 114.2311193 22.3090059, 114.2309881 22.3091339, 114.2308654 22.3092359, 114.2307568 22.3093161, 114.2304076 22.3095551, 114.2301597 22.3097179, 114.2292271 22.3103428, 114.2282268 22.3109903, 114.2278614 22.3112231)"
26350659,6103,subway,港鐵觀塘綫 MTR Kwun Tong Line,-1,F,T,"LINESTRING (114.2339735 22.3054043, 114.2338046 22.3056141, 114.2328977 22.3066758, 114.2320328 22.3077012, 114.2319156 22.307885)"
26379328,6103,subway,港鐵機場快綫 MTR Airport Express,-2,F,T,"LINESTRING (114.1619279 22.3057589, 114.1621426 22.3062245, 114.1624153 22.3067867, 114.1625794 22.3071844, 114.1627084 22.3076102, 114.1628098 22.3080056, 114.1628759 22.3083042, 114.1629418 22.3087048, 114.1629741 22.309057, 114.1629903 22.3093708, 114.1629714 22.3100208, 114.1629003 22.3106474, 114.162787 22.3113335, 114.1626491 22.3118499, 114.1625072 22.3123301, 114.1623652 22.3127315, 114.162243 22.3130453, 114.1621363 22.3132888, 114.1617857 22.3141026, 114.1614213 22.3148901)"
26599367,6104,tram,,0,F,F,"LINESTRING (114.1480327 22.288195, 114.1480502 22.2882018, 114.1480677 22.2882066, 114.148092 22.288211, 114.1481193 22.2882143, 114.1481461 22.2882156, 114.1481694 22.2882146, 114.1481974 22.2882112, 114.1482257 22.2882056, 114.1498675 22.2877949, 114.1500937 22.2877383, 114.15063 22.2876064, 114.1508193 22.2875586)"
