Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.03658,22.28776,816548,821810,2177216575T20190704,,離島區,新界,,,,,,,,,,,,,,,,坪利路,12,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,PENG LEI ROAD,12,,2181016548P20190704
Point,114.03528,22.20434,807310,821667,2166807310T20050430,,離島區,新界,,,,,,,,,,,,,,,,花屏路,17A,,BETHANY COTTAGE AND BETHANY HOUSE,ISLANDS DISTRICT,NT,,,,,,,,,BETHANY COTTAGE AND BETHANY HOUSE,,,,,,,,FA PENG ROAD,17A,,2166807310T20050430
Point,114.03556,22.20431,807307,821697,2169707306T20050430,,離島區,新界,,,,,,,,,,,,,,,,花屏路,17,,BETHANY COTTAGE AND BETHANY HOUSE,ISLANDS DISTRICT,NT,,,,,,,,,BETHANY COTTAGE AND BETHANY HOUSE,,,,,,,,FA PENG ROAD,17,,2169707306T20050430
Point,114.03727,22.20423,807298,821872,2187007295T20050430,,離島區,新界,,,,,,,,,,,,,,,,花屏路,12,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,FA PENG ROAD,12,,2187007295T20050430
Point,114.11326,22.22321,809394,829709,2971009395T20190521,,離島區,新界,,,,,,,,,,,,高塱,34A,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,KO LONG,34A,,,,,,2971009395T20190521
Point,114.03172,22.20469,807349,821301,2130207350T20130925,建道神學院關錫康何煥賢伉儷樓,離島區,新界,,,,,,,,,,,,,,,,山邊路,25D,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,HILL SIDE ROAD,25D,,2130207350T20130925
Point,114.01409,22.30667,818644,819495,1949618646T20130328,,離島區,新界,,,,,,,,悅堤,,,,,,,,堤畔徑,18,,POSITANO BLOCK 10,ISLANDS DISTRICT,NT,,,,,,,,,POSITANO,,,,,,,,BAYSIDE DRIVE,18,,1949618646T20130328
Point,114.01429,22.30666,818642,819516,1951618643T20130328,,離島區,新界,,,,,,,,悅堤,,,,,,,,堤畔徑,18,,POSITANO BLOCK 11,ISLANDS DISTRICT,NT,,,,,,,,,POSITANO,,,,,,,,BAYSIDE DRIVE,18,,1951618643T20130328
Point,114.01456,22.30668,818644,819543,1953418644T20130328,,離島區,新界,,,,,,,,悅堤,,,,,,,,堤畔徑,18,,POSITANO BLOCK 12,ISLANDS DISTRICT,NT,,,,,,,,,POSITANO,,,,,,,,BAYSIDE DRIVE,18,,1954418645T20130328
Point,114.02746,22.21808,808832,820863,2086408832T20050430,桂濤花園第２２Ｂ座,離島區,新界,,,,,,,,桂濤花園,,,,,,,,長貴路,9,,SCENIC GARDEN BLOCK 22B,ISLANDS DISTRICT,NT,,,,,,,,,SCENIC GARDEN,,,,,,,,CHEUNG KWAI ROAD,9,,2086408832T20050430
