Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.1512,22.28465,816197,833623,3362116196T20050430,,中西區,香港,,,,,,,,,,,,,,,,皇后大道中,255,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,QUEEN'S ROAD CENTRAL,255,,3362116196T20050430
Point,114.1519,22.26757,814305,833694,3369814301T20050430,,中西區,香港,,,,,,,,九雲居,,,,,,,,賓吉道,9,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,CLOUD NINE,,,,,,,,PLUNKETT'S ROAD,9,,3369814301T20050430
Point,114.14694,22.26348,813852,833183,3318613854T20050430,嘉麗園第８座,中西區,香港,,,,,,,,嘉麗園,,,,,,,,加列山道,65,69,KELLETT VIEW TOWN HOUSES BLOCK 8,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,KELLETT VIEW TOWN HOUSES,,,,,,,,MOUNT KELLETT ROAD,65,69,3318613854T20050430
Point,114.15465,22.26346,813849,833977,3397513853T20050430,東蘆Ｅ座,中西區,香港,,,,,,,,東蘆,,,,,,,,山頂道,74,76,ORIENT CREST BLOCK E,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,ORIENT CREST,,,,,,,,PEAK ROAD,74,76,3397513853T20050430
Point,114.14515,22.28376,816098,832998,3298916088T20050430,聖士提反女子中學金禧樓,中西區,香港,,,,,,,,聖士提反女子中學,,,,,,,,列堤頓道,2,,ST. STEPHEN'S GIRLS' COLLEGE JUBILEE BUILDING,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,ST. STEPHEN'S GIRLS' COLLEGE,,,,,,,,LYTTELTON ROAD,2,,3298916088T20050430
Point,114.15463,22.26381,813889,833975,3398013885T20050430,東蘆Ｍ座,中西區,香港,,,,,,,,東蘆,,,,,,,,山頂道,74,76,ORIENT CREST BLOCK M,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,ORIENT CREST,,,,,,,,PEAK ROAD,74,76,3398013885T20050430
Point,114.14111,22.28749,816511,832583,3258316511T20190726,,中西區,香港,,,,,,,,,,,,,,,,忠正街,8,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,CHUNG CHING STREET,8,,3258316511T20190726
Point,114.15513,22.28041,815726,834027,3402715727T20050430,,中西區,香港,,,,,,,,,,,,,,,,德己立街,55,,LKF TOWER,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,D'AGUILAR STREET,55,,3402715727T20050430
Point,114.15513,22.28041,815726,834027,3402715727T20050430,,中西區,香港,,,,,,,,,,,,,,,,雲咸街,33,,LKF TOWER,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,WYNDHAM STREET,33,,3402715727T20050430
Point,114.14819,22.28959,816744,833312,3330816744T20050430,,中西區,香港,,,,,,,,,,,,,,,,西消防街,8,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,WESTERN FIRE SERVICES STREET,8,,3330816744T20050430
